InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536532,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 13:24:00,0.55,12433.0,Norway
536535,22311,OFFICE MUG WARMER BLACK+SILVER ,6,2010-12-01 13:38:00,2.95,15605.0,United Kingdom
536539,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 14:03:00,1.45,15165.0,United Kingdom
536539,85019C,CURIOUS  IMAGES NOTEBOOK SET,3,2010-12-01 14:03:00,4.25,15165.0,United Kingdom
536539,21481,FAWN BLUE HOT WATER BOTTLE,6,2010-12-01 14:03:00,2.95,15165.0,United Kingdom
536540,21833,CAMOUFLAGE LED TORCH,12,2010-12-01 14:05:00,1.69,14911.0,EIRE
536540,21055,TOOL BOX SOFT TOY ,4,2010-12-01 14:05:00,8.95,14911.0,EIRE
536542,22379,RECYCLING BAG RETROSPOT ,20,2010-12-01 14:11:00,2.1,16456.0,United Kingdom
536544,22384,LUNCH BAG PINK POLKADOT,2,2010-12-01 14:32:00,4.21,,United Kingdom
536544,20669,RED HEART LUGGAGE TAG,1,2010-12-01 14:32:00,2.51,,United Kingdom
536544,20676,RED RETROSPOT BOWL,1,2010-12-01 14:32:00,2.51,,United Kingdom
536544,22837,HOT WATER BOTTLE BABUSHKA ,1,2010-12-01 14:32:00,9.32,,United Kingdom
536544,22588,CARD HOLDER GINGHAM HEART,3,2010-12-01 14:32:00,5.06,,United Kingdom
536544,48188,DOORMAT WELCOME PUPPIES,1,2010-12-01 14:32:00,14.43,,United Kingdom
536544,22813,PACK 3 BOXES BIRD PANNETONE ,1,2010-12-01 14:32:00,4.21,,United Kingdom
536544,21166,COOK WITH WINE METAL SIGN ,2,2010-12-01 14:32:00,4.21,,United Kingdom
536544,22037,ROBOT BIRTHDAY CARD,1,2010-12-01 14:32:00,0.85,,United Kingdom
536544,20685,DOORMAT RED RETROSPOT,1,2010-12-01 14:32:00,14.43,,United Kingdom
536544,22876,NUMBER TILE COTTAGE GARDEN 8,1,2010-12-01 14:32:00,4.21,,United Kingdom
536544,22549,PICTURE DOMINOES,1,2010-12-01 14:32:00,3.36,,United Kingdom
536544,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,2010-12-01 14:32:00,1.28,,United Kingdom
536544,22644,CERAMIC CHERRY CAKE MONEY BANK,1,2010-12-01 14:32:00,3.36,,United Kingdom
536544,84580,MOUSE TOY WITH PINK T-SHIRT,1,2010-12-01 14:32:00,4.21,,United Kingdom
536544,72799E,IVORY PILLAR CANDLE SILVER FLOCK,2,2010-12-01 14:32:00,3.36,,United Kingdom
536544,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,1,2010-12-01 14:32:00,1.66,,United Kingdom
536544,22203,MILK PAN RED RETROSPOT,1,2010-12-01 14:32:00,7.62,,United Kingdom
536544,22087,PAPER BUNTING WHITE LACE,2,2010-12-01 14:32:00,5.91,,United Kingdom
536544,22866,HAND WARMER SCOTTY DOG DESIGN,4,2010-12-01 14:32:00,4.21,,United Kingdom
536544,84913A,SOFT PINK ROSE TOWEL ,1,2010-12-01 14:32:00,3.36,,United Kingdom
536544,22867,HAND WARMER BIRD DESIGN,4,2010-12-01 14:32:00,4.21,,United Kingdom
536544,22727,ALARM CLOCK BAKELIKE RED ,2,2010-12-01 14:32:00,7.62,,United Kingdom
536551,22310,IVORY KNITTED MUG COSY ,2,2010-12-01 14:34:00,1.65,17346.0,United Kingdom
536551,21592,RETROSPOT CIGAR BOX MATCHES ,2,2010-12-01 14:34:00,1.25,17346.0,United Kingdom
536557,22568,FELTCRAFT CUSHION OWL,1,2010-12-01 14:41:00,3.75,17841.0,United Kingdom
536557,22941,CHRISTMAS LIGHTS 10 REINDEER,1,2010-12-01 14:41:00,8.5,17841.0,United Kingdom
536559,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,36,2010-12-01 14:54:00,1.25,17873.0,United Kingdom
536559,22876,NUMBER TILE COTTAGE GARDEN 8,1,2010-12-01 14:54:00,1.95,17873.0,United Kingdom
536561,22779,WOODEN OWLS LIGHT GARLAND ,8,2010-12-01 15:06:00,4.25,12921.0,United Kingdom
536562,21231,SWEETHEART CERAMIC TRINKET BOX,12,2010-12-01 15:08:00,1.25,13468.0,United Kingdom
536567,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,12,2010-12-01 15:27:00,1.45,16048.0,United Kingdom
536569,22496,SET OF 2 ROUND TINS DUTCH CHEESE,1,2010-12-01 15:35:00,2.95,16274.0,United Kingdom
536569,22660,DOORMAT I LOVE LONDON,1,2010-12-01 15:35:00,7.95,16274.0,United Kingdom
536571,84754,S/15 SILVER GLASS BAUBLES IN BAG,12,2010-12-01 15:37:00,1.25,14696.0,United Kingdom
536572,22121,NOEL WOODEN BLOCK LETTERS ,3,2010-12-01 15:40:00,5.95,16539.0,United Kingdom
536573,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2010-12-01 15:45:00,0.65,17025.0,United Kingdom
536575,84050,PINK HEART SHAPE EGG FRYING PAN,72,2010-12-01 16:01:00,1.25,13777.0,United Kingdom
536576,20971,PINK BLUE FELT CRAFT TRINKET BOX,144,2010-12-01 16:11:00,1.06,13777.0,United Kingdom
536579,20727,LUNCH BAG  BLACK SKULL.,60,2010-12-01 16:16:00,1.45,13777.0,United Kingdom
536582,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,2010-12-01 16:21:00,9.95,12947.0,United Kingdom
536582,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2010-12-01 16:21:00,1.25,12947.0,United Kingdom
536587,22355,CHARLOTTE BAG SUKI DESIGN,10,2010-12-01 16:33:00,0.85,14142.0,United Kingdom
536588,21777,RECIPE BOX WITH METAL HEART,1,2010-12-01 16:49:00,7.95,17069.0,United Kingdom
536592,22947,WOODEN ADVENT CALENDAR RED,1,2010-12-01 17:06:00,34.0,,United Kingdom
536592,22584,PACK OF 6 PANNETONE GIFT BOXES,1,2010-12-01 17:06:00,5.06,,United Kingdom
536592,21213,PACK OF 72 SKULL CAKE CASES,1,2010-12-01 17:06:00,1.28,,United Kingdom
536592,21879,HEARTS GIFT TAPE,1,2010-12-01 17:06:00,1.66,,United Kingdom
536592,21537,RED RETROSPOT PUDDING BOWL,2,2010-12-01 17:06:00,8.47,,United Kingdom
536592,90024C,NEW BAROQUE B'FLY NECKLACE GREEN,1,2010-12-01 17:06:00,8.49,,United Kingdom
536592,85099B,JUMBO BAG RED RETROSPOT,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,35916C,PINK FELT HANGING HEART W FLOWER,1,2010-12-01 17:06:00,1.66,,United Kingdom
536592,21429,RED GINGHAM ROSE JEWELLERY BOX,3,2010-12-01 17:06:00,3.36,,United Kingdom
536592,21071,VINTAGE BILLBOARD DRINK ME MUG,1,2010-12-01 17:06:00,2.51,,United Kingdom
536592,85017A,ENVELOPE 50 ROMANTIC IMAGES,1,2010-12-01 17:06:00,0.85,,United Kingdom
536592,21974,SET OF 36 PAISLEY FLOWER DOILIES,5,2010-12-01 17:06:00,2.98,,United Kingdom
536592,22694,WICKER STAR ,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,21192,WHITE BELL HONEYCOMB PAPER ,2,2010-12-01 17:06:00,3.36,,United Kingdom
536592,22142,CHRISTMAS CRAFT WHITE FAIRY ,1,2010-12-01 17:06:00,3.36,,United Kingdom
536592,22174,PHOTO CUBE,5,2010-12-01 17:06:00,3.36,,United Kingdom
536592,22544,MINI JIGSAW SPACEBOY,1,2010-12-01 17:06:00,0.85,,United Kingdom
536592,47599A,PINK PARTY BAGS,1,2010-12-01 17:06:00,4.21,,United Kingdom
536592,22580,ADVENT CALENDAR GINGHAM SACK,1,2010-12-01 17:06:00,11.87,,United Kingdom
536592,22810,SET OF 6 T-LIGHTS SNOWMEN,1,2010-12-01 17:06:00,5.91,,United Kingdom
536592,22831,WHITE BROCANTE SOAP DISH,1,2010-12-01 17:06:00,5.91,,United Kingdom
536599,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2010-12-02 07:49:00,0.85,15694.0,United Kingdom
536602,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-02 08:34:00,7.65,17850.0,United Kingdom
536611,21790,VINTAGE SNAP CARDS,12,2010-12-02 09:43:00,0.85,15752.0,United Kingdom
536612,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-02 09:44:00,1.06,17850.0,United Kingdom
536613,22029,SPACEBOY BIRTHDAY CARD,12,2010-12-02 09:44:00,0.42,17855.0,United Kingdom
536613,21790,VINTAGE SNAP CARDS,12,2010-12-02 09:44:00,0.85,17855.0,United Kingdom
536613,22736,RIBBON REEL MAKING SNOWMEN ,10,2010-12-02 09:44:00,1.65,17855.0,United Kingdom
536615,22781,GUMBALL MAGAZINE RACK,2,2010-12-02 10:09:00,7.65,14047.0,United Kingdom
536616,21137,BLACK RECORD COVER FRAME,72,2010-12-02 10:10:00,3.39,17925.0,United Kingdom
536617,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,2010-12-02 10:17:00,1.25,13941.0,United Kingdom
536618,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,2010-12-02 10:17:00,1.25,17017.0,United Kingdom
536623,72818,CHRISTMAS DECOUPAGE CANDLE,24,2010-12-02 10:39:00,0.85,15601.0,United Kingdom
536627,22777,GLASS BELL JAR LARGE,2,2010-12-02 10:53:00,8.5,15658.0,United Kingdom
536628,71053,WHITE METAL LANTERN,6,2010-12-02 10:54:00,3.39,17850.0,United Kingdom
536630,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-12-02 10:56:00,2.75,17850.0,United Kingdom
536634,20676,RED RETROSPOT BOWL,12,2010-12-02 11:21:00,1.25,18041.0,United Kingdom
536634,21210,SET OF 72 RETROSPOT PAPER  DOILIES,2,2010-12-02 11:21:00,1.45,18041.0,United Kingdom
536635,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,2010-12-02 11:22:00,1.25,15955.0,United Kingdom
536637,22315,200 RED + WHITE BENDY STRAWS,1,2010-12-02 11:35:00,1.25,18041.0,United Kingdom
536637,72818,CHRISTMAS DECOUPAGE CANDLE,1,2010-12-02 11:35:00,0.85,18041.0,United Kingdom
536637,22654,DELUXE SEWING KIT ,1,2010-12-02 11:35:00,5.95,18041.0,United Kingdom
536638,22071,SMALL WHITE RETROSPOT MUG IN BOX ,6,2010-12-02 11:41:00,3.75,16244.0,United Kingdom
536638,22113,GREY HEART HOT WATER BOTTLE,4,2010-12-02 11:41:00,3.75,16244.0,United Kingdom
536638,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2010-12-02 11:41:00,0.95,16244.0,United Kingdom
536643,22371,AIRLINE BAG VINTAGE TOKYO 78,1,2010-12-02 11:57:00,4.25,14390.0,United Kingdom
536681,22294,HEART FILIGREE DOVE  SMALL,10,2010-12-02 12:22:00,1.25,17287.0,United Kingdom
536690,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-02 12:25:00,3.39,17850.0,United Kingdom
536690,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-02 12:25:00,2.55,17850.0,United Kingdom
536707,85132B,CHARLIE AND LOLA TABLE TINS,1,2010-12-02 12:33:00,9.95,12915.0,United Kingdom
536707,22840,ROUND CAKE TIN VINTAGE RED,2,2010-12-02 12:33:00,7.95,12915.0,United Kingdom
536733,22333,RETROSPOT PARTY BAG + STICKER SET,16,2010-12-02 12:50:00,1.65,15738.0,United Kingdom
536733,20677,PINK POLKADOT BOWL,8,2010-12-02 12:50:00,1.25,15738.0,United Kingdom
536738,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-12-02 13:06:00,9.95,15827.0,United Kingdom
536739,21843,RED RETROSPOT CAKE STAND,1,2010-12-02 13:08:00,10.95,14180.0,United Kingdom
536740,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-12-02 13:08:00,9.95,15827.0,United Kingdom
536741,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-02 13:11:00,1.25,13117.0,United Kingdom
536742,21922,UNION STRIPE WITH FRINGE  HAMMOCK,1,2010-12-02 13:14:00,7.95,16916.0,United Kingdom
536742,22973,CHILDREN'S CIRCUS PARADE MUG,1,2010-12-02 13:14:00,1.65,16916.0,United Kingdom
536743,22551,PLASTERS IN TIN SPACEBOY,1,2010-12-02 13:32:00,1.65,17964.0,United Kingdom
536746,21258,VICTORIAN SEWING BOX LARGE,1,2010-12-02 13:39:00,12.75,16510.0,United Kingdom
536747,22866,HAND WARMER SCOTTY DOG DESIGN,6,2010-12-02 13:44:00,2.1,17802.0,United Kingdom
536748,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2010-12-02 13:45:00,0.85,15107.0,United Kingdom
536748,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2010-12-02 13:45:00,9.95,15107.0,United Kingdom
536749,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,2010-12-02 13:49:00,3.75,17976.0,United Kingdom
536749,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2010-12-02 13:49:00,1.65,17976.0,United Kingdom
536749,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1,2010-12-02 13:49:00,2.55,17976.0,United Kingdom
536749,22569,FELTCRAFT CUSHION BUTTERFLY,1,2010-12-02 13:49:00,3.75,17976.0,United Kingdom
536750,22803,IVORY EMBROIDERED QUILT ,2,2010-12-02 14:04:00,35.75,17850.0,United Kingdom
536750,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-02 14:04:00,1.06,17850.0,United Kingdom
536752,22803,IVORY EMBROIDERED QUILT ,2,2010-12-02 14:06:00,35.75,17850.0,United Kingdom
536753,22632,HAND WARMER RED POLKA DOT,6,2010-12-02 14:07:00,1.85,17850.0,United Kingdom
536754,21902,"KEY FOB , FRONT  DOOR ",4,2010-12-02 14:09:00,0.65,14449.0,United Kingdom
536754,22384,LUNCH BAG PINK POLKADOT,3,2010-12-02 14:09:00,1.65,14449.0,United Kingdom
536755,84870C,GREEN GEISHA GIRL ,1,2010-12-02 14:14:00,3.75,,United Kingdom
536759,48111,DOORMAT 3 SMILEY CATS,4,2010-12-02 14:26:00,7.95,16781.0,United Kingdom
536778,21259,VICTORIAN SEWING BOX SMALL ,2,2010-12-02 15:03:00,5.95,13138.0,United Kingdom
536782,22197,SMALL POPCORN HOLDER,12,2010-12-02 15:18:00,0.85,17567.0,United Kingdom
536785,22659,LUNCH BOX I LOVE LONDON,128,2010-12-02 15:22:00,1.65,15061.0,United Kingdom
536787,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-02 15:24:00,2.55,17850.0,United Kingdom
536787,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-02 15:24:00,3.39,17850.0,United Kingdom
536787,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-02 15:24:00,1.06,17850.0,United Kingdom
536793,22264,FELT FARM ANIMAL WHITE BUNNY ,12,2010-12-02 15:39:00,0.85,16203.0,United Kingdom
536793,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-02 15:39:00,3.75,16203.0,United Kingdom
536796,21393,BLUE POLKADOT PUDDING BOWL,1,2010-12-02 15:46:00,2.1,15574.0,United Kingdom
536796,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2010-12-02 15:46:00,2.95,15574.0,United Kingdom
536796,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,1,2010-12-02 15:46:00,0.85,15574.0,United Kingdom
536798,82599,FANNY'S REST STOPMETAL SIGN,12,2010-12-02 15:55:00,2.1,17838.0,United Kingdom
536799,22632,HAND WARMER RED RETROSPOT,8,2010-12-02 16:00:00,2.1,17228.0,United Kingdom
536799,22834,HAND WARMER BABUSHKA DESIGN,12,2010-12-02 16:00:00,2.1,17228.0,United Kingdom
536805,20973,12 PENCIL SMALL TUBE WOODLAND,24,2010-12-02 16:38:00,0.65,14775.0,United Kingdom
C536812,22593,CHRISTMAS GINGHAM STAR,-144,2010-12-02 16:58:00,0.72,16546.0,United Kingdom
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2010-12-02 17:08:00,4.25,14156.0,EIRE
536819,22429,ENAMEL MEASURING JUG CREAM,4,2010-12-02 17:12:00,4.25,13402.0,United Kingdom
536836,22649,STRAWBERRY FAIRY CAKE TEAPOT,1,2010-12-02 18:08:00,4.95,18168.0,United Kingdom
536837,21754,HOME BUILDING BLOCK WORD,3,2010-12-02 18:15:00,5.95,14395.0,United Kingdom
536839,22030,SWALLOWS GREETING CARD,36,2010-12-02 18:25:00,0.42,15093.0,United Kingdom
536842,47590A,BLUE HAPPY BIRTHDAY BUNTING,6,2010-12-02 18:45:00,5.45,17552.0,United Kingdom
536845,20979,36 PENCILS TUBE RED RETROSPOT,4,2010-12-02 19:18:00,1.25,17961.0,United Kingdom
536845,21528,DAIRY MAID TRADITIONAL TEAPOT ,1,2010-12-02 19:18:00,6.95,17961.0,United Kingdom
536846,21912,VINTAGE SNAKES & LADDERS,1,2010-12-02 19:59:00,3.75,14573.0,United Kingdom
536846,22834,HAND WARMER BABUSHKA DESIGN,6,2010-12-02 19:59:00,2.1,14573.0,United Kingdom
536846,22179,SET 10 LIGHTS NIGHT OWL,1,2010-12-02 19:59:00,6.75,14573.0,United Kingdom
536846,22424,ENAMEL BREAD BIN CREAM,1,2010-12-02 19:59:00,12.75,14573.0,United Kingdom
536859,22812,PACK 3 BOXES CHRISTMAS PANNETONE,4,2010-12-03 10:43:00,1.95,12841.0,United Kingdom
536860,22575,METAL MERRY CHRISTMAS WREATH,3,2010-12-03 10:43:00,1.95,16905.0,United Kingdom
536862,21086,SET/6 RED SPOTTY PAPER CUPS,2,2010-12-03 11:13:00,1.66,,United Kingdom
536862,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2010-12-03 11:13:00,29.79,,United Kingdom
536864,22891,TEA FOR ONE POLKADOT,1,2010-12-03 11:27:00,8.47,,United Kingdom
536865,84970l,SINGLE HEART ZINC T-LIGHT HOLDER,6,2010-12-03 11:28:00,2.13,,United Kingdom
536865,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1,2010-12-03 11:28:00,5.06,,United Kingdom
536865,21157,RED RETROSPOT WASHBAG,1,2010-12-03 11:28:00,4.21,,United Kingdom
536865,48111,DOORMAT 3 SMILEY CATS,2,2010-12-03 11:28:00,14.43,,United Kingdom
536865,22947,WOODEN ADVENT CALENDAR RED,1,2010-12-03 11:28:00,34.0,,United Kingdom
536865,82580,BATHROOM METAL SIGN,2,2010-12-03 11:28:00,1.28,,United Kingdom
536865,82581,TOILET METAL SIGN,1,2010-12-03 11:28:00,1.28,,United Kingdom
536865,21981,PACK OF 12 WOODLAND TISSUES ,1,2010-12-03 11:28:00,0.81,,United Kingdom
536874,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2010-12-03 11:35:00,3.75,16891.0,United Kingdom
536876,22082,RIBBON REEL STRIPES DESIGN ,2,2010-12-03 11:36:00,3.36,,United Kingdom
536876,22371,AIRLINE BAG VINTAGE TOKYO 78,3,2010-12-03 11:36:00,8.47,,United Kingdom
536876,20971,PINK BLUE FELT CRAFT TRINKET BOX,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,22246,MAGIC GARDEN FELT GARLAND ,2,2010-12-03 11:36:00,4.21,,United Kingdom
536876,22491,PACK OF 12 COLOURED PENCILS,2,2010-12-03 11:36:00,1.66,,United Kingdom
536876,22768,FAMILY PHOTO FRAME CORNICE,1,2010-12-03 11:36:00,20.38,,United Kingdom
536876,85131B,BEADED CRYSTAL HEART GREEN ON STICK,3,2010-12-03 11:36:00,0.85,,United Kingdom
536876,21240,BLUE POLKADOT CUP,1,2010-12-03 11:36:00,1.66,,United Kingdom
536876,22099,CARAVAN SQUARE TISSUE BOX,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,2,2010-12-03 11:36:00,4.21,,United Kingdom
536876,21993,FLORAL FOLK STATIONERY SET,3,2010-12-03 11:36:00,2.51,,United Kingdom
536876,22483,RED GINGHAM TEDDY BEAR ,1,2010-12-03 11:36:00,5.91,,United Kingdom
536876,22712,CARD DOLLY GIRL ,1,2010-12-03 11:36:00,0.85,,United Kingdom
536876,22835,HOT WATER BOTTLE I AM SO POORLY,9,2010-12-03 11:36:00,9.32,,United Kingdom
536876,22626,BLACK KITCHEN SCALES,1,2010-12-03 11:36:00,16.98,,United Kingdom
536876,22731,3D CHRISTMAS STAMPS STICKERS ,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,22294,HEART FILIGREE DOVE  SMALL,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2010-12-03 11:36:00,4.21,,United Kingdom
536876,22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,1,2010-12-03 11:36:00,4.21,,United Kingdom
536876,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,2010-12-03 11:36:00,1.66,,United Kingdom
536876,21917,SET 12 KIDS  WHITE CHALK STICKS,3,2010-12-03 11:36:00,0.85,,United Kingdom
536876,22629,SPACEBOY LUNCH BOX ,3,2010-12-03 11:36:00,4.21,,United Kingdom
536876,21884,CAKES AND BOWS GIFT  TAPE,1,2010-12-03 11:36:00,1.66,,United Kingdom
536876,21147,JINGLE BELLS TREE DECORATION,1,2010-12-03 11:36:00,2.51,,United Kingdom
536876,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,2010-12-03 11:36:00,1.28,,United Kingdom
536890,17091J,VANILLA INCENSE IN TIN,72,2010-12-03 11:48:00,0.85,14156.0,EIRE
536943,22940,FELTCRAFT CHRISTMAS FAIRY,1,2010-12-03 12:11:00,4.25,17884.0,United Kingdom
536945,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2010-12-03 12:24:00,4.25,14083.0,United Kingdom
536945,22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,1,2010-12-03 12:24:00,4.95,14083.0,United Kingdom
536945,48184,DOORMAT ENGLISH ROSE ,1,2010-12-03 12:24:00,7.95,14083.0,United Kingdom
536946,22812,PACK 3 BOXES CHRISTMAS PANNETONE,12,2010-12-03 12:28:00,1.95,13013.0,United Kingdom
536947,37343,POLKADOT MUG PINK ,6,2010-12-03 12:29:00,1.65,13013.0,United Kingdom
536971,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2010-12-03 13:40:00,0.85,12779.0,Poland
536973,82551,LAUNDRY 15C METAL SIGN,6,2010-12-03 13:43:00,1.45,17787.0,United Kingdom
